Section	Division	Group	Class	PkdSuffix	Description
D	35	35.1	35.13	PKD 35.13.Z	Dystrybucja energii elektrycznej
D	35	35.1	35.14	PKD 35.14.Z	Handel energią elektryczną
D	35	35.2	35.21	PKD 35.21.Z	Wytwarzanie paliw gazowych
D	35	35.2	35.22	PKD 35.22.Z	Dystrybucja paliw gazowych w systemie sieciowym
D	35	35.2	35.23	PKD 35.23.Z	Handel paliwami gazowymi w systemie sieciowym
D	35	35.3	35.30	PKD 35.30.Z	Wytwarzanie i zaopatrywanie w parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych
E	36	36.0	36.00	PKD 36.00.Z	POBÓR, UZDATNIANIE I DOSTARCZANIE WODY
E	37	37.0	37.00	PKD 37.00.Z	ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW
E	38	38.1	38.11	PKD 38.11.Z	Zbieranie odpadów innych niż niebezpieczne
E	38	38.1	38.12	PKD 38.12.Z	Zbieranie odpadów niebezpiecznych
E	38	38.2	38.21	PKD 38.21.Z	Obróbka i usuwanie odpadów innych niż niebezpieczne
E	38	38.2	38.22	PKD 38.22.Z	Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych
E	38	38.3	38.31	PKD 38.31.Z	Demontaż wyrobów zużytych
E	38	38.3	38.32	PKD 38.32.Z	Odzysk surowców z materiałów segregowanych
E	39	39.0	39.00	PKD 39.00.Z	DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI
F	41	41.1	41.10	PKD 41.10.Z	Realizacja projektów budowlanych związanych ze wznoszeniem budynków
F	41	41.2	41.20	PKD 41.20.Z	Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
F	42	42.1	42.11	PKD 42.11.Z	Roboty związane z budową dróg i autostrad
F	42	42.1	42.12	PKD 42.12.Z	Roboty związane z budową dróg szynowych i kolei podziemnej
F	42	42.1	42.13	PKD 42.13.Z	Roboty związane z budową mostów i tuneli
F	42	42.2	42.21	PKD 42.21.Z	Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych
F	42	42.2	42.22	PKD 42.22.Z	Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych
F	42	42.9	42.91	PKD 42.91.Z	Roboty związane z budową obiektów inżynierii wodnej
F	42	42.9	42.99	PKD 42.99.Z	Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane
F	43	43.1	43.11	PKD 43.11.Z	Rozbiórka i burzenie obiektów budowlanych
F	43	43.1	43.12	PKD 43.12.Z	Przygotowanie terenu pod budowę
F	43	43.1	43.13	PKD 43.13.Z	Wykonywanie wykopów i wierceń geologiczno-inżynierskich
F	43	43.2	43.21	PKD 43.21.Z	Wykonywanie instalacji elektrycznych
F	43	43.2	43.22	PKD 43.22.Z	Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych
F	43	43.2	43.29	PKD 43.29.Z	Wykonywanie pozostałych instalacji budowlanych
F	43	43.3	43.31	PKD 43.31.Z	Tynkowanie
F	43	43.3	43.32	PKD 43.32.Z	Zakładanie stolarki budowlanej
F	43	43.3	43.33	PKD 43.33.Z	Posadzkarstwo; tapetowanie i oblicowywanie ścian
F	43	43.3	43.34	PKD 43.34.Z	Malowanie i szklenie
F	43	43.3	43.39	PKD 43.39.Z	Wykonywanie pozostałych robót budowlanych wykończeniowych
F	43	43.9	43.91	PKD 43.91.Z	Wykonywanie konstrukcji i pokryć dachowych
F	43	43.9	43.99	PKD 43.99.Z	Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane
G	45	45.1	45.11	PKD 45.11.Z	Sprzedaż hurtowa i detaliczna samochodów osobowych i furgonetek
G	45	45.1	45.19	PKD 45.19.Z	Sprzedaż hurtowa i detaliczna pozostałych pojazdów samochodowych, z wyłączeniem motocykli
G	45	45.2	45.20	PKD 45.20.Z	Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli
G	45	45.3	45.31	PKD 45.31.Z	Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli
G	45	45.3	45.32	PKD 45.32.Z	Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli
G	45	45.4	45.40	PKD 45.40.Z	Sprzedaż hurtowa i detaliczna motocykli, ich naprawa i konserwacja oraz sprzedaż hurtowa i detaliczna części i akcesoriów do nich
G	46	46.1	46.11	PKD 46.11.Z	Działalność agentów zajmujących się sprzedażą płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów
G	46	46.1	46.12	PKD 46.12.Z	Działalność agentów zajmujących się sprzedażą paliw, rud, metali i chemikaliów przemysłowych
G	46	46.1	46.13	PKD 46.13.Z	Działalność agentów zajmujących się sprzedażą drewna i materiałów budowlanych
G	46	46.1	46.14	PKD 46.14.Z	Działalność agentów zajmujących się sprzedażą maszyn, urządzeń przemysłowych, statków i samolotów
G	46	46.1	46.15	PKD 46.15.Z	Działalność agentów zajmujących się sprzedażą mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych
G	46	46.1	46.16	PKD 46.16.Z	Działalność agentów zajmujących się sprzedażą wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych
G	46	46.1	46.17	PKD 46.17.Z	Działalność agentów zajmujących się sprzedażą żywności, napojów i wyrobów tytoniowych
G	46	46.1	46.18	PKD 46.18.Z	Działalność agentów specjalizujących się w sprzedaży pozostałych określonych towarów
G	46	46.1	46.19	PKD 46.19.Z	Działalność agentów zajmujących się sprzedażą towarów różnego rodzaju
G	46	46.2	46.21	PKD 46.21.Z	Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt
G	46	46.2	46.22	PKD 46.22.Z	Sprzedaż hurtowa kwiatów i roślin
G	46	46.2	46.23	PKD 46.23.Z	Sprzedaż hurtowa żywych zwierząt
G	46	46.2	46.24	PKD 46.24.Z	Sprzedaż hurtowa skór
G	46	46.3	46.31	PKD 46.31.Z	Sprzedaż hurtowa owoców i warzyw
G	46	46.3	46.32	PKD 46.32.Z	Sprzedaż hurtowa mięsa i wyrobów z mięsa
G	46	46.3	46.33	PKD 46.33.Z	Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych
G	46	46.3	46.34	PKD 46.34.A	Sprzedaż hurtowa napojów alkoholowych
G	46	46.3	46.34	PKD 46.34.B	Sprzedaż hurtowa napojów bezalkoholowych
G	46	46.3	46.35	PKD 46.35.Z	Sprzedaż hurtowa wyrobów tytoniowych
G	46	46.3	46.36	PKD 46.36.Z	Sprzedaż hurtowa cukru, czekolady, wyrobów cukierniczych i piekarskich
G	46	46.3	46.37	PKD 46.37.Z	Sprzedaż hurtowa herbaty, kawy, kakao i przypraw
G	46	46.3	46.38	PKD 46.38.Z	Sprzedaż hurtowa pozostałej żywności, włączając ryby, skorupiaki i mięczaki
G	46	46.3	46.39	PKD 46.39.Z	Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych
G	46	46.4	46.41	PKD 46.41.Z	Sprzedaż hurtowa wyrobów tekstylnych
G	46	46.4	46.42	PKD 46.42.Z	Sprzedaż hurtowa odzieży i obuwia
G	46	46.4	46.43	PKD 46.43.Z	Sprzedaż hurtowa elektrycznych artykułów użytku domowego
G	46	46.4	46.44	PKD 46.44.Z	Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących
G	46	46.4	46.45	PKD 46.45.Z	Sprzedaż hurtowa perfum i kosmetyków
G	46	46.4	46.46	PKD 46.46.Z	Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych
G	46	46.4	46.47	PKD 46.47.Z	Sprzedaż hurtowa mebli, dywanów i sprzętu oświetleniowego
G	46	46.4	46.48	PKD 46.48.Z	Sprzedaż hurtowa zegarków, zegarów i biżuterii
G	46	46.4	46.49	PKD 46.49.Z	Sprzedaż hurtowa pozostałych artykułów użytku domowego
G	46	46.5	46.51	PKD 46.51.Z	Sprzedaż hurtowa komputerów, urządzeń peryferyjnych i oprogramowania
G	46	46.5	46.52	PKD 46.52.Z	Sprzedaż hurtowa sprzętu elektronicznego i telekomunikacyjnego oraz części do niego
G	46	46.6	46.61	PKD 46.61.Z	Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia
G	46	46.6	46.62	PKD 46.62.Z	Sprzedaż hurtowa obrabiarek
G	46	46.6	46.63	PKD 46.63.Z	Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
G	46	46.6	46.64	PKD 46.64.Z	Sprzedaż hurtowa maszyn dla przemysłu tekstylnego oraz maszyn do szycia i maszyn dziewiarskich
G	46	46.6	46.65	PKD 46.65.Z	Sprzedaż hurtowa mebli biurowych
G	46	46.6	46.66	PKD 46.66.Z	Sprzedaż hurtowa pozostałych maszyn i urządzeń biurowych
G	46	46.6	46.69	PKD 46.69.Z	Sprzedaż hurtowa pozostałych maszyn i urządzeń
G	46	46.7	46.71	PKD 46.71.Z	Sprzedaż hurtowa paliw i produktów pochodnych
G	46	46.7	46.72	PKD 46.72.Z	Sprzedaż hurtowa metali i rud metali
G	46	46.7	46.73	PKD 46.73.Z	Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego
G	46	46.7	46.74	PKD 46.74.Z	Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego
G	46	46.7	46.75	PKD 46.75.Z	Sprzedaż hurtowa wyrobów chemicznych
G	46	46.7	46.76	PKD 46.76.Z	Sprzedaż hurtowa pozostałych półproduktów
G	46	46.7	46.77	PKD 46.77.Z	Sprzedaż hurtowa odpadów i złomu
G	46	46.9	46.90	PKD 46.90.Z	Sprzedaż hurtowa niewyspecjalizowana
G	47	47.1	47.11	PKD 47.11.Z	Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych
G	47	47.1	47.19	PKD 47.19.Z	Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach
G	47	47.2	47.21	PKD 47.21.Z	Sprzedaż detaliczna owoców i warzyw prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.22	PKD 47.22.Z	Sprzedaż detaliczna mięsa i wyrobów z mięsa prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.23	PKD 47.23.Z	Sprzedaż detaliczna ryb, skorupiaków i mięczaków prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.24	PKD 47.24.Z	Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.25	PKD 47.25.Z	Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.26	PKD 47.26.Z	Sprzedaż detaliczna wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach
G	47	47.2	47.29	PKD 47.29.Z	Sprzedaż detaliczna pozostałej żywności prowadzona w wyspecjalizowanych sklepach
G	47	47.3	47.30	PKD 47.30.Z	Sprzedaż detaliczna paliw do pojazdów silnikowych na stacjach paliw
G	47	47.4	47.41	PKD 47.41.Z	Sprzedaż detaliczna komputerów, urządzeń peryferyjnych i oprogramowania prowadzona w wyspecjalizowanych sklepach
G	47	47.4	47.42	PKD 47.42.Z	Sprzedaż detaliczna sprzętu telekomunikacyjnego prowadzona w wyspecjalizowanych sklepach
G	47	47.4	47.43	PKD 47.43.Z	Sprzedaż detaliczna sprzętu audiowizualnego prowadzona w wyspecjalizowanych sklepach
G	47	47.5	47.51	PKD 47.51.Z	Sprzedaż detaliczna wyrobów tekstylnych prowadzona w wyspecjalizowanych sklepach
G	47	47.5	47.52	PKD 47.52.Z	Sprzedaż detaliczna drobnych wyrobów metalowych, farb i szkła prowadzona w wyspecjalizowanych sklepach
G	47	47.5	47.53	PKD 47.53.Z	Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych prowadzona w wyspecjalizowanych sklepach
G	47	47.5	47.54	PKD 47.54.Z	Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego prowadzona w wyspecjalizowanych sklepach
G	47	47.5	47.59	PKD 47.59.Z	Sprzedaż detaliczna mebli, sprzętu oświetleniowego i pozostałych artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach
G	47	47.6	47.61	PKD 47.61.Z	Sprzedaż detaliczna książek prowadzona w wyspecjalizowanych sklepach
G	47	47.6	47.62	PKD 47.62.Z	Sprzedaż detaliczna gazet i artykułów piśmiennych prowadzona w wyspecjalizowanych sklepach
G	47	47.6	47.63	PKD 47.63.Z	Sprzedaż detaliczna nagrań dźwiękowych i audiowizualnych prowadzona w wyspecjalizowanych sklepach
G	47	47.6	47.64	PKD 47.64.Z	Sprzedaż detaliczna sprzętu sportowego prowadzona w wyspecjalizowanych sklepach
G	47	47.6	47.65	PKD 47.65.Z	Sprzedaż detaliczna gier i zabawek prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.71	PKD 47.71.Z	Sprzedaż detaliczna odzieży prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.72	PKD 47.72.Z	Sprzedaż detaliczna obuwia i wyrobów skórzanych prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.73	PKD 47.73.Z	Sprzedaż detaliczna wyrobów farmaceutycznych prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.74	PKD 47.74.Z	Sprzedaż detaliczna wyrobów medycznych, włączając ortopedyczne, prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.75	PKD 47.75.Z	Sprzedaż detaliczna kosmetyków i artykułów toaletowych prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.76	PKD 47.76.Z	Sprzedaż detaliczna kwiatów, roślin, nasion, nawozów, żywych zwierząt domowych, karmy dla zwierząt domowych prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.77	PKD 47.77.Z	Sprzedaż detaliczna zegarków, zegarów i biżuterii prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.78	PKD 47.78.Z	Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach
G	47	47.7	47.79	PKD 47.79.Z	Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach
G	47	47.8	47.81	PKD 47.81.Z	Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach
G	47	47.8	47.82	PKD 47.82.Z	Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach
G	47	47.8	47.89	PKD 47.89.Z	Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach
G	47	47.9	47.91	PKD 47.91.Z	Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet
G	47	47.9	47.99	PKD 47.99.Z	Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami
H	49	49.1	49.10	PKD 49.10.Z	Transport kolejowy pasażerski międzymiastowy
H	49	49.2	49.20	PKD 49.20.Z	Transport kolejowy towarów
H	49	49.3	49.31	PKD 49.31.Z	Transport lądowy pasażerski, miejski i podmiejski
H	49	49.3	49.32	PKD 49.32.Z	Działalność taksówek osobowych
H	49	49.3	49.39	PKD 49.39.Z	Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany
H	49	49.4	49.41	PKD 49.41.Z	Transport drogowy towarów
H	49	49.4	49.42	PKD 49.42.Z	Działalność usługowa związana z przeprowadzkami
H	49	49.5	49.50	PKD 49.50.A	Transport rurociągami paliw gazowych
H	49	49.5	49.50	PKD 49.50.B	Transport rurociągowy pozostałych towarów
H	50	50.1	50.10	PKD 50.10.Z	Transport morski i przybrzeżny pasażerski
H	50	50.2	50.20	PKD 50.20.Z	Transport morski i przybrzeżny towarów
H	50	50.3	50.30	PKD 50.30.Z	Transport wodny śródlądowy pasażerski
H	50	50.4	50.40	PKD 50.40.Z	Transport wodny śródlądowy towarów
H	51	51.1	51.10	PKD 51.10.Z	Transport lotniczy pasażerski
H	51	51.2	51.21	PKD 51.21.Z	Transport lotniczy towarów
H	51	51.2	51.22	PKD 51.22.Z	Transport kosmiczny
H	52	52.1	52.10	PKD 52.10.A	Magazynowanie i przechowywanie paliw gazowych
H	52	52.1	52.10	PKD 52.10.B	Magazynowanie i przechowywanie pozostałych towarów
H	52	52.2	52.21	PKD 52.21.Z	Działalność usługowa wspomagająca transport lądowy
H	52	52.2	52.22	PKD 52.22.A	Działalność usługowa wspomagająca transport morski
H	52	52.2	52.22	PKD 52.22.B	Działalność usługowa wspomagająca transport śródlądowy
H	52	52.2	52.23	PKD 52.23.Z	Działalność usługowa wspomagająca transport lotniczy
H	52	52.2	52.24	PKD 52.24.A	Przeładunek towarów w portach morskich
H	52	52.2	52.24	PKD 52.24.B	Przeładunek towarów w portach śródlądowych
H	52	52.2	52.24	PKD 52.24.C	Przeładunek towarów w pozostałych punktach przeładunkowych
H	52	52.2	52.29	PKD 52.29.A	Działalność morskich agencji transportowych
H	52	52.2	52.29	PKD 52.29.B	Działalność śródlądowych agencji transportowych
H	52	52.2	52.29	PKD 52.29.C	Działalność pozostałych agencji transportowych
H	53	53.1	53.10	PKD 53.10.Z	Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)
H	53	53.2	53.20	PKD 53.20.Z	Pozostała działalność pocztowa i kurierska
I	55	55.1	55.10	PKD 55.10.Z	Hotele i podobne obiekty zakwaterowania
I	55	55.2	55.20	PKD 55.20.Z	Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania
I	55	55.3	55.30	PKD 55.30.Z	Pola kempingowe (włączając pola dla pojazdów kempingowych) i pola namiotowe
I	55	55.9	55.90	PKD 55.90.Z	Pozostałe zakwaterowanie
I	56	56.1	56.10	PKD 56.10.A	Restauracje i inne stałe placówki gastronomiczne
I	56	56.1	56.10	PKD 56.10.B	Ruchome placówki gastronomiczne
I	56	56.2	56.21	PKD 56.21.Z	Przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering)
I	56	56.2	56.29	PKD 56.29.Z	Pozostała usługowa działalność gastronomiczna
I	56	56.3	56.30	PKD 56.30.Z	Przygotowywanie i podawanie napojów
J	58	58.1	58.11	PKD 58.11.Z	Wydawanie książek
J	58	58.1	58.12	PKD 58.12.Z	Wydawanie wykazów oraz list (np. adresowych, telefonicznych)
J	58	58.1	58.13	PKD 58.13.Z	Wydawanie gazet
J	58	58.1	58.14	PKD 58.14.Z	Wydawanie czasopism i pozostałych periodyków
J	58	58.1	58.19	PKD 58.19.Z	Pozostała działalność wydawnicza
J	58	58.2	58.21	PKD 58.21.Z	Działalność wydawnicza w zakresie gier komputerowych
J	58	58.2	58.29	PKD 58.29.Z	Działalność wydawnicza w zakresie pozostałego oprogramowania
J	59	59.1	59.11	PKD 59.11.Z	Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych
J	59	59.1	59.12	PKD 59.12.Z	Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi
J	59	59.1	59.13	PKD 59.13.Z	Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych
J	59	59.1	59.14	PKD 59.14.Z	Działalność związana z projekcją filmów
J	59	59.2	59.20	PKD 59.20.Z	Działalność w zakresie nagrań dźwiękowych i muzycznych
J	60	60.1	60.10	PKD 60.10.Z	Nadawanie programów radiofonicznych
J	60	60.2	60.20	PKD 60.20.Z	Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych
J	61	61.1	61.10	PKD 61.10.Z	Działalność w zakresie telekomunikacji przewodowej
J	61	61.2	61.20	PKD 61.20.Z	Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej
J	61	61.3	61.30	PKD 61.30.Z	Działalność w zakresie telekomunikacji satelitarnej
J	61	61.9	61.90	PKD 61.90.Z	Działalność w zakresie pozostałej telekomunikacji
J	62	62.0	62.01	PKD 62.01.Z	Działalność związana z oprogramowaniem
J	62	62.0	62.02	PKD 62.02.Z	Działalność związana z doradztwem w zakresie informatyki
J	62	62.0	62.03	PKD 62.03.Z	Działalność związana z zarządzaniem urządzeniami informatycznymi
J	62	62.0	62.09	PKD 62.09.Z	Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych
J	63	63.1	63.11	PKD 63.11.Z	Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność
J	63	63.1	63.12	PKD 63.12.Z	Działalność portali internetowych
J	63	63.9	63.91	PKD 63.91.Z	Działalność agencji informacyjnych
J	63	63.9	63.99	PKD 63.99.Z	Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana
K	64	64.1	64.11	PKD 64.11.Z	Działalność banku centralnego
K	64	64.1	64.19	PKD 64.19.Z	Pozostałe pośrednictwo pieniężne
K	64	64.2	64.20	PKD 64.20.Z	Działalność holdingów finansowych
K	64	64.3	64.30	PKD 64.30.Z	Działalność trustów, funduszów i podobnych instytucji finansowych
K	64	64.9	64.91	PKD 64.91.Z	Leasing finansowy
K	64	64.9	64.92	PKD 64.92.Z	Pozostałe formy udzielania kredytów
K	64	64.9	64.99	PKD 64.99.Z	Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych
K	65	65.1	65.11	PKD 65.11.Z	Ubezpieczenia na życie
K	65	65.1	65.12	PKD 65.12.Z	Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe
K	65	65.2	65.20	PKD 65.20.Z	Reasekuracja
K	65	65.3	65.30	PKD 65.30.Z	Fundusze emerytalne
K	66	66.1	66.11	PKD 66.11.Z	Zarządzanie rynkami finansowymi
K	66	66.1	66.12	PKD 66.12.Z	Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych
K	66	66.1	66.19	PKD 66.19.Z	Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych
K	66	66.2	66.21	PKD 66.21.Z	Działalność związana z oceną ryzyka i szacowaniem poniesionych strat
K	66	66.2	66.22	PKD 66.22.Z	Działalność agentów i brokerów ubezpieczeniowych
K	66	66.2	66.29	PKD 66.29.Z	Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne
K	66	66.3	66.30	PKD 66.30.Z	Działalność związana z zarządzaniem funduszami
L	68	68.1	68.10	PKD 68.10.Z	Kupno i sprzedaż nieruchomości na własny rachunek
L	68	68.2	68.20	PKD 68.20.Z	Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi
L	68	68.3	68.31	PKD 68.31.Z	Pośrednictwo w obrocie nieruchomościami
L	68	68.3	68.32	PKD 68.32.Z	Zarządzanie nieruchomościami wykonywane na zlecenie
M	69	69.1	69.10	PKD 69.10.Z	Działalność prawnicza
M	69	69.2	69.20	PKD 69.20.Z	Działalność rachunkowo-księgowa; doradztwo podatkowe
M	70	70.1	70.10	PKD 70.10.Z	Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych
M	70	70.2	70.21	PKD 70.21.Z	Stosunki międzyludzkie (public relations) i komunikacja
M	70	70.2	70.22	PKD 70.22.Z	Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania
M	71	71.1	71.11	PKD 71.11.Z	Działalność w zakresie architektury
M	71	71.1	71.12	PKD 71.12.Z	Działalność w zakresie inżynierii i związane z nią doradztwo techniczne
M	71	71.2	71.20	PKD 71.20.A	Badania i analizy związane z jakością żywności
M	71	71.2	71.20	PKD 71.20.B	Pozostałe badania i analizy techniczne
M	72	72.1	72.11	PKD 72.11.Z	Badania naukowe i prace rozwojowe w dziedzinie biotechnologii
M	72	72.1	72.19	PKD 72.19.Z	Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych
M	72	72.2	72.20	PKD 72.20.Z	Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych
M	73	73.1	73.11	PKD 73.11.Z	Działalność agencji reklamowych
M	73	73.1	73.12	PKD 73.12.A	Pośrednictwo w sprzedaży czasu i miejsca na cele reklamowe w radio i telewizji
M	73	73.1	73.12	PKD 73.12.B	Pośrednictwo w sprzedaży miejsca na cele reklamowe w mediach drukowanych
M	73	73.1	73.12	PKD 73.12.C	Pośrednictwo w sprzedaży miejsca na cele reklamowe w mediach elektronicznych (Internet)
M	73	73.1	73.12	PKD 73.12.D	Pośrednictwo w sprzedaży miejsca na cele reklamowe w pozostałych mediach
M	73	73.2	73.20	PKD 73.20.Z	Badanie rynku i opinii publicznej
M	74	74.1	74.10	PKD 74.10.Z	Działalność w zakresie specjalistycznego projektowania
M	74	74.2	74.20	PKD 74.20.Z	Działalność fotograficzna
M	74	74.3	74.30	PKD 74.30.Z	Działalność związana z tłumaczeniami
M	74	74.9	74.90	PKD 74.90.Z	Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana
M	75	75.0	75.00	PKD 75.00.Z	DZIAŁALNOŚĆ WETERYNARYJNA
N	77	77.1	77.11	PKD 77.11.Z	Wynajem i dzierżawa samochodów osobowych i furgonetek
N	77	77.1	77.12	PKD 77.12.Z	Wynajem i dzierżawa pozostałych pojazdów samochodowych, z wyłączeniem motocykli
N	77	77.2	77.21	PKD 77.21.Z	Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego
N	77	77.2	77.22	PKD 77.22.Z	Wypożyczanie kaset wideo, płyt CD, DVD itp.
N	77	77.2	77.29	PKD 77.29.Z	Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego
N	77	77.3	77.31	PKD 77.31.Z	Wynajem i dzierżawa maszyn i urządzeń rolniczych
N	77	77.3	77.32	PKD 77.32.Z	Wynajem i dzierżawa maszyn i urządzeń budowlanych
N	77	77.3	77.33	PKD 77.33.Z	Wynajem i dzierżawa maszyn i urządzeń biurowych, włączając komputery
N	77	77.3	77.34	PKD 77.34.Z	Wynajem i dzierżawa środków transportu wodnego
N	77	77.3	77.35	PKD 77.35.Z	Wynajem i dzierżawa środków transportu lotniczego
N	77	77.3	77.39	PKD 77.39.Z	Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane
N	77	77.4	77.40	PKD 77.40.Z	Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim
N	78	78.1	78.10	PKD 78.10.Z	Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
N	78	78.2	78.20	PKD 78.20.Z	Działalność agencji pracy tymczasowej
N	78	78.3	78.30	PKD 78.30.Z	Pozostała działalność związana z udostępnianiem pracowników
N	79	79.1	79.11	PKD 79.11.A	Działalność agentów turystycznych
N	79	79.1	79.11	PKD 79.11.B	Działalność pośredników turystycznych
N	79	79.1	79.12	PKD 79.12.Z	Działalność organizatorów turystyki
N	79	79.9	79.90	PKD 79.90.A	Działalność pilotów wycieczek i przewodników turystycznych
N	79	79.9	79.90	PKD 79.90.B	Działalność w zakresie informacji turystycznej
N	79	79.9	79.90	PKD 79.90.C	Pozostała działalność usługowa w zakresie rezerwacji, gdzie indziej niesklasyfikowana
N	80	80.1	80.10	PKD 80.10.Z	Działalność ochroniarska, z wyłączeniem obsługi systemów bezpieczeństwa
N	80	80.2	80.20	PKD 80.20.Z	Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa
